canton,municipality,bfs_code,address,plz,buildingGroundArea_sqm,grossInvest_CHF,subsidies_CHF,netInvest_CHF,paybackTime_years,producedKwhYear_kWh,selfConsumedKwhYear_kWh,selfConsumptionPct_pct,gridFeedinKwhYear_kWh
BE,Tramelan,446,Le Cernil 9,2722,244.01,28900.00,3671.00,20183.20,15.527,10776.80,2490.19,23.11,8286.62
BE,Tramelan,446,Le Cernil 11,2722,179.68,28700.00,3612.00,20070.40,15.323,10831.10,2511.73,23.19,8319.37
BE,Tramelan,446,Le Cernil 15,2722,305.15,68400.00,13506.00,43915.20,10.402,44219.84,2865.42,6.480,41354.42
BE,Tramelan,446,Les Cerniettes 1,2722,590.38,18100.00,1860.00,12992.00,22.13,5243.88,1073.14,20.46,4170.73
BE,Tramelan,446,Aux Champs 1,2720,393.06,27700.00,3440.00,19408.00,17.578,10995.22,1291.76,11.748,9703.45
BE,Tramelan,446,Sur l'Harse 1,2720,387.96,16000.00,1517.00,11586.40,26.11,4009.61,852.19,21.25,3157.43
BE,Tramelan,446,Aux Champs 2,2720,455.33,31000.00,4246.00,21403.20,15.904,13760.83,1323.53,9.618,12437.30
BE,Tramelan,446,Les Planches 1,2720,390.26,27500.00,3415.00,19268.00,17.319,11071.37,1294.38,11.691,9776.99
BE,Sonvilier,445,La Chaux-d'Abel 63,2333,47.57,31700.00,4468.00,21785.60,15.464,11877.62,2615.19,22.02,9262.43
BE,Sonvilier,445,La Chaux-d'Abel 64,2333,140.21,30000.00,3967.00,20826.40,19.920,10619.84,1221.91,11.506,9397.93
BE,Sonvilier,445,L'Echelette 152,2615,42.93,23500.00,2759.00,16592.80,22.00,7536.45,992.54,13.170,6543.91
BE,Sonvilier,445,La Chaux-d'Abel 69,2333,225.90,17600.00,1781.00,12655.20,27.92,4684.19,613.98,13.107,4070.22
BE,Sonvilier,445,La Chaux-d'Abel 75a,2333,553.53,14900.00,1341.00,10847.20,22.02,4254.27,965.83,22.70,3288.44
BE,Sonvilier,445,Sur la Côte 113,2610,596.76,17500.00,1762.00,12590.40,19.909,5532.39,1160.77,20.98,4371.62
BE,Sonvilier,445,Sur la Côte 112,2610,596.76,22500.00,2586.00,15931.20,19.257,8118.90,1075.05,13.241,7043.85
BE,Sonvilier,445,Route des Sauges 135a,2615,110.98,16300.00,1566.00,11787.20,20.66,4878.60,1117.15,22.90,3761.45
BE,Sonvilier,445,L'Echelette 153,2615,29.95,12800.00,993.00,9445.60,31.39,2869.37,556.11,19.381,2313.26
BE,Sonvilier,445,Route des Sauges 133,2615,582.16,12800.00,995.00,9444.00,32.32,2817.93,534.33,18.962,2283.60
BE,Cortébert,433,La Bise de Cortébert 222,2723,214.05,30000.00,3959.00,20832.80,19.840,10629.04,1242.25,11.687,9386.79
BE,Cortébert,433,Rière le Moulin 15a,2607,90.62,34100.00,5144.00,23164.80,12.199,15409.40,3582.85,23.25,11826.55
BE,Cortébert,433,Les Prés-de-Cortébert 219,2608,588.42,27800.00,3462.00,19470.40,17.571,11039.87,1294.47,11.725,9745.40
BE,Cortébert,433,Rière le Moulin 15c,2607,90.62,28100.00,3507.00,19674.40,18.063,10922.12,1258.08,11.519,9664.04
BE,Cortébert,433,Les Prés-de-Cortébert 212,2608,428.58,70900.00,13974.00,45540.80,11.407,44748.47,1425.76,3.186,43322.71
BE,Cortébert,433,Charrière du Droit 8,2607,44.04,93500.00,18255.00,60196.00,17.780,35814.93,3172.70,8.859,32642.23
BE,Cortébert,433,Les Prés-de-Cortébert 205,2608,375.73,19200.00,2055.00,13716.00,24.30,5063.46,1070.48,21.14,3992.98
BE,Cortébert,433,Les Prés-de-Cortébert 201,2608,1236.31,18500.00,1930.00,13256.00,23.24,5111.39,1059.73,20.73,4051.66
BE,Cortébert,433,Charrière du Droit 6,2607,208.65,14700.00,1306.00,10715.20,21.95,4240.94,942.35,22.22,3298.59
BE,Cortébert,433,Les Prés-de-Cortébert 214,2608,258.82,15900.00,1514.00,11508.80,23.58,4864.44,667.93,13.731,4196.51
BE,Champoz,683,Champ Rossé 2,2735,359.00,28600.00,3580.00,20016.00,14.669,11169.88,2637.84,23.62,8532.05
BE,Champoz,683,Les Pesses 72,2735,129.52,43600.00,7812.00,28630.40,10.806,25270.01,3036.21,12.015,22233.79
BE,Champoz,683,Moulin des Pécas 1,2735,171.34,17700.00,1802.00,12718.40,20.22,5491.43,1168.79,21.28,4322.65
BE,Champoz,683,Champ l'Habitant 51,2735,156.43,33400.00,4944.00,22764.80,15.740,15364.57,1142.05,7.433,14222.53
BE,Champoz,683,Sablonnière 69,2735,162.93,38200.00,6302.00,25518.40,12.339,20151.93,2272.33,11.276,17879.61
BE,Champoz,683,Les Grands Clos 7,2735,321.24,27900.00,3470.00,19544.00,14.381,11071.33,2637.84,23.83,8433.49
BE,Champoz,683,Champ l'Habitant 50,2735,123.03,17400.00,1752.00,12518.40,19.701,5526.50,1177.31,21.30,4349.19
BE,Champoz,683,Les Pesses 60,2735,202.47,35000.00,5397.00,23682.40,14.685,16820.68,1365.70,8.119,15454.97
BE,Champoz,683,Les Pesses 57,2735,143.41,53600.00,10645.00,34364.00,11.236,29066.23,3644.79,12.540,25421.44
BE,Champoz,683,Clos Grasson 11,2735,525.69,74800.00,14718.00,48065.60,10.933,49853.45,1199.72,2.406,48653.73
BE,Belprahon,681,Prés Fleurets 1,2744,46.45,12400.00,933.00,9173.60,28.25,3020.75,599.22,19.837,2421.53
BE,Belprahon,681,Gremmelin 1,2744,27.27,17800.00,1812.00,12790.40,29.31,4491.30,623.49,13.882,3867.81
BE,Belprahon,681,Prés Fleurets 3,2744,67.88,12900.00,1019.00,9504.80,29.57,2982.31,613.51,20.57,2368.80
BE,Belprahon,681,Chemin du Prailat 1,2744,269.43,15000.00,1356.00,10915.20,23.20,4118.83,916.28,22.25,3202.55
BE,Belprahon,681,Le Noveleu 8,2744,129.67,15800.00,1490.00,11448.00,22.55,4530.82,936.30,20.67,3594.51
BE,Belprahon,681,Le Noveleu 20,2744,102.83,17200.00,1722.00,12382.40,20.41,5309.86,1123.50,21.16,4186.36
BE,Belprahon,681,Le Noveleu 14,2744,126.60,30500.00,4124.00,21100.80,13.840,13135.98,2584.61,19.676,10551.36
BE,Belprahon,681,Le Noveleu 10,2744,124.90,70900.00,13974.00,45540.80,9.486,44453.64,5944.43,13.372,38509.21
BE,Belprahon,681,Le Noveleu 18,2744,141.53,14600.00,1301.00,10639.20,22.41,4147.31,913.99,22.04,3233.31
BE,Belprahon,681,Le Noveleu 17,2744,144.66,16900.00,1671.00,12183.20,20.06,5324.27,1111.00,20.87,4213.27
BE,Villeret,448,Rue des Faverges 30,2613,107.44,19800.00,2142.00,14126.40,24.60,5062.27,1141.00,22.54,3921.27
BE,Villeret,448,Rue des Faverges 11,2613,107.06,35700.00,5584.00,24092.80,12.339,17383.69,2942.34,16.926,14441.35
BE,Villeret,448,Rue Neuve 69,2613,91.73,22200.00,2543.00,15725.60,19.644,7879.28,1040.38,13.204,6838.90
BE,Villeret,448,Rue des Faverges 28,2613,0.00000,15900.00,1503.00,11517.60,24.44,4129.14,939.74,22.76,3189.40
BE,Villeret,448,Rue des Planches 25,2613,110.74,37400.00,6065.00,25068.00,13.080,17385.14,2793.97,16.071,14591.16
BE,Villeret,448,Rue des Sources 23,2613,106.73,15300.00,1402.00,11118.40,23.38,4166.74,928.07,22.27,3238.67
BE,Villeret,448,Rue des Planches 34,2613,115.13,17600.00,1782.00,12654.40,21.57,5201.21,1079.11,20.75,4122.10
BE,Villeret,448,Rue des Planches 28,2613,118.24,17200.00,1724.00,12380.80,20.24,5331.77,1139.49,21.37,4192.28
BE,Villeret,448,Rue des Faverges 6,2613,99.41,53800.00,10699.00,34480.80,10.442,32938.44,3055.28,9.276,29883.16
BE,Court,690,Sous-Graitery 10,2738,202.59,18500.00,1932.00,13254.40,20.57,5835.61,1102.59,18.894,4733.02
BE,Court,690,Sous-Graitery 7,2738,191.54,14800.00,1334.00,10772.80,24.23,3981.73,838.07,21.05,3143.66
BE,Court,690,Sous-Graitery 17,2738,128.69,15400.00,1418.00,11185.60,24.49,4051.93,885.44,21.85,3166.49
BE,Court,690,Sous-Graitery 14,2738,112.76,67900.00,13410.00,43592.00,10.988,35972.66,5545.45,15.416,30427.22
BE,Court,690,Sous-Graitery 13,2738,81.35,15700.00,1479.00,11376.80,24.37,4121.10,914.37,22.19,3206.72
BE,Court,690,Route de Chaluet 7,2738,106.26,13200.00,1063.00,9709.60,28.94,3212.68,584.68,18.199,2628.00
BE,Court,690,Sous-Graitery 12,2738,28.72,18500.00,1932.00,13254.40,20.58,5842.20,1098.36,18.801,4743.83
BE,Court,690,Sous-Graitery 15,2738,96.15,15900.00,1501.00,11519.20,22.81,4540.16,918.74,20.24,3621.42
BE,Court,690,Rue Chantemerle 2,2738,296.57,18000.00,1855.00,12916.00,22.35,5175.43,1055.14,20.39,4120.29
BE,Court,690,Rue Chantemerle 1,2738,89.08,48700.00,9274.00,31540.80,11.833,27952.55,1942.29,6.949,26010.26
BE,Romont (BE),442,Vers la Vacherie 36,2536,158.81,30800.00,4212.00,21270.40,20.21,10597.77,1293.83,12.209,9303.94
BE,Romont (BE),442,Sur le haut de la Charrière 32,2536,57.06,17400.00,1761.00,12511.20,21.98,4826.92,1165.46,24.14,3661.46
BE,Romont (BE),442,Vers la Vieille Vache 31,2536,340.19,14700.00,1304.00,10716.80,21.47,4352.49,947.75,21.77,3404.73
BE,Romont (BE),442,Chemin des Carrons 2,2538,276.50,23400.00,2743.00,16525.60,17.580,7897.93,1817.20,23.01,6080.72
BE,Romont (BE),442,Chemin des Carrons 5,2538,94.32,73300.00,14427.00,47098.40,10.863,45598.79,2934.53,6.436,42664.26
BE,Romont (BE),442,Chemin du Crêt 8,2538,89.67,14600.00,1302.00,10638.40,21.31,4368.76,937.31,21.45,3431.45
BE,Romont (BE),442,Route Principale 8a,2538,77.10,29500.00,3822.00,20542.40,15.795,10934.91,2431.67,22.24,8503.24
BE,Romont (BE),442,Chemin des Carrons 6,2538,114.24,14800.00,1322.00,10782.40,21.71,4335.65,945.24,21.80,3390.41
BE,Romont (BE),442,Chemin des Oeuchettes 22b,2538,0.00000,18700.00,1963.00,13389.60,30.44,4544.45,640.60,14.096,3903.85
BE,Romont (BE),442,Chemin de la Joux 5,2538,55.86,17200.00,1725.00,12380.00,22.94,5457.48,688.77,12.621,4768.72
BE,Crémines,691,Pré es Brons 180,2746,433.42,27600.00,3426.00,19339.20,17.560,10996.44,1273.80,11.584,9722.64
BE,Crémines,691,Es Gossins 186,2746,119.55,22100.00,2527.00,15658.40,19.705,7781.42,1054.06,13.546,6727.36
BE,Crémines,691,Pré es Brons 193,2746,147.12,22000.00,2501.00,15599.20,19.306,7888.80,1070.75,13.573,6818.05
BE,Crémines,691,Es Gossins 181,2746,213.11,15200.00,1389.00,11048.80,24.21,4039.12,884.71,21.90,3154.41
BE,Crémines,691,Es Gossins 183,2746,109.02,87800.00,17181.00,56495.20,10.965,55970.94,2624.13,4.688,53346.82
BE,Crémines,691,Pré es Brons 192,2746,75.82,22000.00,2501.00,15599.20,16.072,7890.45,1949.04,24.70,5941.41
BE,Crémines,691,Es Gossins 184,2746,54.29,14700.00,1317.00,10706.40,22.66,4121.03,917.61,22.27,3203.42
BE,Crémines,691,Es Gossins 181a,2746,213.11,22700.00,2622.00,16062.40,20.83,7625.30,1019.77,13.373,6605.53
BE,Crémines,691,Creux de Férouse 197,2746,54.19,24000.00,2834.00,16932.80,22.48,7503.51,1019.10,13.582,6484.41
BE,Grandval,694,Champs des Coeudres 52,2745,323.31,27900.00,3465.00,19548.00,22.39,8961.29,1052.75,11.748,7908.54
BE,Grandval,694,Grand-Rue 7,2745,144.52,18400.00,1922.00,13182.40,22.84,5152.41,1074.09,20.85,4078.32
BE,Grandval,694,Cras sur Neuve Vie 21,2745,157.45,17000.00,1689.00,12248.80,20.22,5324.98,1106.55,20.78,4218.43
BE,Grandval,694,Cras sur Neuve Vie 33,2745,184.23,39100.00,6551.00,26039.20,11.325,19919.18,3661.09,18.380,16258.10
BE,Grandval,694,Cras sur Neuve Vie 35,2745,132.42,18600.00,1958.00,13313.60,22.38,5244.39,1130.30,21.55,4114.08
BE,Crémines,691,Rue des Sources 295,2746,38.52,46100.00,8528.00,30057.60,11.270,26023.46,2827.04,10.863,23196.42
BE,Grandval,694,Grand-Rue 9,2745,142.41,18400.00,1922.00,13182.40,22.85,5153.33,1072.68,20.82,4080.65
BE,Grandval,694,Grand-Rue 27,2745,355.49,27600.00,3418.00,19345.60,17.869,10876.14,1232.41,11.331,9643.73
BE,Grandval,694,Cras sur Neuve Vie 37,2745,106.84,46500.00,8640.00,30288.00,12.841,23412.92,2463.62,10.522,20949.30
BE,Grandval,694,Cras sur Neuve Vie 17,2745,98.49,14800.00,1325.00,10780.00,22.56,4150.55,934.77,22.52,3215.78
BE,Grandval,694,Cras sur Neuve Vie 19,2745,206.30,14700.00,1313.00,10709.60,22.45,4146.66,930.03,22.43,3216.63
BE,Loveresse,696,Sur le Sat 9,2732,118.33,41100.00,7127.00,27178.40,14.682,19772.41,1363.73,6.897,18408.69
BE,Loveresse,696,Sur le Sat 10,2732,446.18,68300.00,13494.00,43844.80,9.764,42836.21,4993.81,11.658,37842.40
BE,Loveresse,696,Sur le Sat 7,2732,111.06,37400.00,6056.00,25075.20,14.263,15908.33,2667.56,16.768,13240.78
BE,Loveresse,696,Prés de la Montagne 57,2732,72.01,26000.00,3165.00,18268.00,19.134,9686.68,1085.19,11.203,8601.50
BE,Loveresse,696,Chemin des Prés 1,2732,200.78,30200.00,4023.00,20941.60,16.488,12954.66,1290.72,9.963,11663.94
BE,Loveresse,696,Rue du Closet 2,2732,115.01,32600.00,4705.00,22316.00,15.321,13843.02,1925.24,13.908,11917.78
BE,Loveresse,696,Prés de la Montagne 48,2732,447.91,39800.00,6755.00,26436.00,13.211,21354.45,1358.48,6.362,19995.98
BE,Loveresse,696,Rue du Closet 4,2732,171.03,41600.00,7265.00,27468.00,11.956,21270.96,3052.04,14.348,18218.92
BE,Loveresse,696,Benevis 6,2732,37.79,18400.00,1917.00,13186.40,19.894,5903.67,1166.17,19.753,4737.49
BE,Loveresse,696,Champ du Moulin 1,2732,373.58,18600.00,1957.00,13314.40,19.775,6025.52,1167.87,19.382,4857.65
BE,Perrefitte,701,Sur la Chaivre 70,2742,55.00,15300.00,1401.00,11119.20,22.93,4249.94,936.53,22.04,3313.41
BE,Perrefitte,701,Sur la Chaivre 71,2742,46.49,16000.00,1529.00,11576.80,26.60,3956.89,831.78,21.02,3125.11
BE,Perrefitte,701,Sur la Chaivre 72,2742,32.83,19300.00,2061.00,13791.20,24.50,5329.64,933.72,17.519,4395.92
BE,Perrefitte,701,La Bergerie 45,2742,108.35,21800.00,2469.00,15464.80,20.54,7570.26,923.04,12.193,6647.21
BE,Perrefitte,701,Pré Papon 104,2742,124.14,34100.00,5122.00,23182.40,16.281,14834.79,1300.12,8.764,13534.68
BE,Perrefitte,701,Pré Papon 1m,2742,134.66,15500.00,1437.00,11250.40,23.67,4218.52,905.91,21.47,3312.61
BE,Perrefitte,701,Pré Papon 1h,2742,66.80,14700.00,1309.00,10712.80,22.64,4196.63,882.94,21.04,3313.69
BE,Perrefitte,701,Sous Moron 17,2742,297.19,15700.00,1478.00,11377.60,24.18,4173.39,907.81,21.75,3265.58
BE,Perrefitte,701,Sous Moron 6c,2742,82.39,58500.00,11637.00,37490.40,12.049,30900.08,3166.15,10.246,27733.94
BE,Perrefitte,701,Clos du Moulin 6,2742,281.41,18600.00,1948.00,13321.60,22.13,5343.59,1118.94,20.94,4224.65
BE,Reconvilier,703,Rue de la Colline 26,2732,127.73,47800.00,9022.00,31022.40,12.834,25092.27,1986.62,7.917,23105.66
BE,Reconvilier,703,Route de Saules 14,2732,72.30,27700.00,3439.00,19408.80,14.420,11059.73,2567.43,23.21,8492.30
BE,Villeret,448,Montagne du Droit 158,2610,221.61,12600.00,970.00,9304.00,29.72,2961.94,570.33,19.255,2391.61
BE,Reconvilier,703,Rue de la Colline 24,2732,90.16,60000.00,11922.00,38462.40,11.226,36294.13,2243.91,6.183,34050.22
BE,Reconvilier,703,Chemin des Bosquets 3,2732,50.27,23500.00,2755.00,16596.00,20.80,7453.54,1271.24,17.056,6182.30
BE,Reconvilier,703,Rue de la Colline 28,2732,126.98,17100.00,1702.00,12318.40,19.786,5428.83,1147.47,21.14,4281.36
BE,Reconvilier,703,Impasse de la Carrière 5,2732,95.18,33700.00,5018.00,22945.60,12.822,15727.91,2825.38,17.964,12902.53
BE,Reconvilier,703,Impasse de la Carrière 2,2732,112.62,33400.00,4928.00,22777.60,17.260,14028.75,1116.74,7.960,12912.01
BE,Reconvilier,703,Le Benevis 14,2732,62.00,17300.00,1742.00,12446.40,20.01,5453.21,1137.54,20.86,4315.67
BE,Reconvilier,703,Chemin des Bosquets 7,2732,112.62,24000.00,2832.00,16934.40,19.543,8215.63,1279.74,15.577,6935.89
BE,Reconvilier,703,Le Benevis 18,2732,86.31,14700.00,1306.00,10715.20,22.29,4204.54,921.51,21.92,3283.03
BE,Corcelles (BE),687,Les Foigières 48,2747,43.06,13200.00,1063.00,9709.60,35.65,2650.68,520.37,19.631,2130.31
BE,Corcelles (BE),687,Pâturage Derrière 55,2747,187.81,18000.00,1858.00,12913.60,23.39,4941.05,1031.50,20.88,3909.54
BE,Corcelles (BE),687,Les Quemines 9,2747,232.85,21800.00,2481.00,15455.20,16.368,7756.70,1866.41,24.06,5890.29
BE,Corcelles (BE),687,Clos la Jus 47,2747,126.85,17400.00,1760.00,12512.00,22.34,4955.81,1050.80,21.20,3905.01
BE,Corcelles (BE),687,Verger Dedos 37,2747,430.50,29300.00,3769.00,20424.80,18.790,10948.30,1265.71,11.561,9682.59
BE,Corcelles (BE),687,La Fin Dedos 60,2747,151.20,21300.00,2397.00,15122.40,19.106,7468.15,1168.41,15.645,6299.74
BE,Corcelles (BE),687,Verger Dedos 24,2747,804.64,18100.00,1866.00,12987.20,23.89,4866.54,1024.47,21.05,3842.07
BE,Corcelles (BE),687,Clos la Jus 63,2747,122.79,94800.00,18513.00,61029.60,12.389,53324.38,2896.78,5.432,50427.61
BE,Corcelles (BE),687,La Fin Dedos 56,2747,122.28,18200.00,1883.00,13053.60,24.14,4848.68,1020.41,21.05,3828.27
BE,Corcelles (BE),687,Clos la Jus 38,2747,364.70,16900.00,1678.00,12177.60,20.39,5223.10,1106.07,21.18,4117.03
BE,Eschert,692,Ski Club 6,2743,23.96,17600.00,1783.00,12653.60,23.83,5431.51,666.38,12.269,4765.13
BE,Eschert,692,Chemin de la Bergerie 2,2743,0.00000,14700.00,1306.00,10715.20,22.43,4152.82,929.88,22.39,3222.94
BE,Eschert,692,Sur la Roche 2,2743,24.06,13100.00,1051.00,9639.20,32.62,2848.79,545.07,19.133,2303.73
BE,Eschert,692,Prés Beuclair 2,2743,233.90,22200.00,2538.00,15729.60,17.754,7300.62,1788.18,24.49,5512.44
BE,Eschert,692,Rue du Tilleul 20,2743,497.43,17000.00,1692.00,12246.40,21.41,5106.18,1031.14,20.19,4075.03
BE,Eschert,692,La Coire 2,2743,141.40,17200.00,1722.00,12382.40,21.48,5149.94,1039.31,20.18,4110.62
BE,Eschert,692,Le Clos 6,2743,91.08,14600.00,1303.00,10637.60,22.99,4063.51,890.36,21.91,3173.15
BE,Eschert,692,Rue du Tilleul 10,2743,82.01,55300.00,11028.00,35417.60,12.384,31570.84,1383.87,4.383,30186.96
BE,Eschert,692,La Coire 12,2743,120.07,18400.00,1918.00,13185.60,23.25,5134.76,1028.90,20.04,4105.86
BE,Eschert,692,Rue du Tilleul 13f,2743,629.41,73700.00,14514.00,47348.80,11.588,46249.85,1270.16,2.746,44979.68
BE,Saules (BE),707,Milieu du Village 18,2732,305.99,15000.00,1356.00,10915.20,23.49,4124.13,881.59,21.38,3242.54
BE,Saules (BE),707,Les Côtattes 72,2732,139.25,41700.00,7283.00,27533.60,11.475,22000.08,3246.61,14.757,18753.47
BE,Saules (BE),707,Oeuches dessus 80,2732,117.77,18700.00,1974.00,13380.80,23.76,5120.89,1021.62,19.950,4099.27
BE,Saules (BE),707,Bout du Moulin 2,2732,377.50,21700.00,2465.00,15388.00,19.100,7922.78,1033.12,13.040,6889.66
BE,Saules (BE),707,Milieu du Village 4,2732,205.76,21700.00,2457.00,15394.40,15.937,7919.30,1901.42,24.01,6017.87
BE,Saules (BE),707,Champ de l'Age 20,2732,171.97,18500.00,1930.00,13256.00,23.02,5158.01,1065.77,20.66,4092.24
BE,Saules (BE),707,Milieu du Village 15,2732,325.18,21700.00,2452.00,15398.40,16.051,7893.61,1878.32,23.80,6015.30
BE,Saules (BE),707,Bout du Moulin 50,2732,90.85,34700.00,5315.00,23508.00,14.444,14540.89,2564.98,17.640,11975.91
BE,Saules (BE),707,Milieu du Village 11,2732,307.38,18400.00,1917.00,13186.40,21.60,5362.57,1150.93,21.46,4211.63
BE,Saules (BE),707,Bout du Moulin 3,2732,370.17,16900.00,1670.00,12184.00,19.681,5411.86,1131.21,20.90,4280.65
BE,Roches (BE),704,La Combe 53,2762,210.10,28000.00,3482.00,19614.40,19.088,10247.21,1255.55,12.253,8991.65
BE,Roches (BE),704,Le Vevay 3,2762,224.10,17200.00,1723.00,12381.60,25.34,4369.40,948.97,21.72,3420.43
BE,Roches (BE),704,Montagne de Moutier 50,2740,198.04,32800.00,4772.00,22422.40,14.625,13136.83,2693.59,20.50,10443.23
BE,Roches (BE),704,Montagne de Moutier 95,2740,59.56,17400.00,1758.00,12513.60,28.04,4576.08,624.26,13.642,3951.83
BE,Roches (BE),704,Montagne de Moutier 49,2740,582.98,165500.00,32318.00,106545.60,11.967,103836.69,1390.50,1.3391,102446.20
BE,Roches (BE),704,Haut du Village 69,2762,367.12,17900.00,1830.00,12856.00,23.62,4875.86,1018.48,20.89,3857.37
BE,Roches (BE),704,Haut du Village 30,2762,207.93,49700.00,9558.00,32113.60,12.437,22098.77,4401.54,19.918,17697.23
BE,Roches (BE),704,Haut du Village 44,2762,118.86,14800.00,1332.00,10774.40,25.78,3716.15,825.67,22.22,2890.48
BE,Roches (BE),704,Champs la Joux 85,2762,128.36,14800.00,1326.00,10779.20,25.64,3712.49,840.16,22.63,2872.33
BE,Roches (BE),704,Haut du Village 68,2762,74.53,21900.00,2496.00,15523.20,21.98,7011.90,950.47,13.555,6061.43
BE,Tavannes,713,Rue de la Promenade 107,2710,83.75,27000.00,3326.00,18939.20,19.581,9865.22,1091.42,11.063,8773.79
BE,Tavannes,713,Au Chatelay 1,2710,162.05,23800.00,2796.00,16803.20,20.57,8828.88,703.30,7.966,8125.57
BE,Tavannes,713,Belfond 1,2710,105.95,21800.00,2478.00,15457.60,16.171,7844.36,1886.55,24.05,5957.81
BE,Tavannes,713,La Rochette 1,2720,302.24,16600.00,1630.00,11976.00,25.62,4091.44,956.50,23.38,3134.94
BE,Tavannes,713,Entre-les-Combes 9,2710,271.61,51200.00,9961.00,32991.20,10.520,29814.70,3636.00,12.195,26178.70
BE,Tavannes,713,Entre-les-Combes 5,2710,271.61,103400.00,20142.00,66606.40,12.568,58321.45,2683.69,4.602,55637.77
BE,Tavannes,713,Entre-les-Combes 7,2710,271.61,50200.00,9688.00,32409.60,10.545,28999.13,3670.86,12.659,25328.27
BE,Tavannes,713,Rue de Tramelan 102,2710,126.44,24700.00,2954.00,17396.80,18.642,7673.80,1926.72,25.11,5747.08
BE,Tavannes,713,Rue des Collèges 3,2710,64.49,17200.00,1715.00,12388.00,20.48,5318.76,1108.29,20.84,4210.46
BE,Tavannes,713,Entre-les-Combes 1,2710,151.06,39400.00,6620.00,26224.00,11.913,18964.92,3609.97,19.035,15354.95
BE,Saicourt,706,La Bottière 5,2712,471.07,31600.00,4438.00,21729.60,16.680,13301.45,1333.28,10.024,11968.17
BE,Saicourt,706,La Bottière 4,2712,221.96,27700.00,3447.00,19402.40,17.210,11247.62,1292.69,11.493,9954.93
BE,Saicourt,706,La Bottière 3,2712,183.69,17100.00,1710.00,12312.00,27.16,4663.74,611.27,13.107,4052.47
BE,Saicourt,706,Les Ruaux 3,2732,116.37,29100.00,3722.00,20302.40,15.900,12016.95,1759.54,14.642,10257.41
BE,Saicourt,706,Haut de la Fin 1,2732,70.51,17600.00,1786.00,12651.20,28.78,4601.35,580.71,12.620,4020.64
BE,Saicourt,706,Les Ruaux 2,2732,116.37,34800.00,5319.00,23584.80,12.560,16628.63,2887.53,17.365,13741.10
BE,Saicourt,706,Haut de la Fin 2,2732,37.27,23800.00,2803.00,16797.60,22.30,7580.45,975.87,12.874,6604.57
BE,Saicourt,706,Route de la Scierie 38,2732,308.85,18300.00,1896.00,13123.20,22.74,5171.09,1060.47,20.51,4110.63
BE,Saicourt,706,Route de Bellelay 11,2712,125.17,28300.00,3532.00,19814.40,14.717,11039.11,2595.37,23.51,8443.74
BE,La Neuveville,723,Rue des Fossés 10a,2520,0.00000,63300.00,12549.00,40600.80,10.190,42840.02,2119.91,4.948,40720.11
BE,La Neuveville,723,Rue des Mornets 21a,2520,96.90,15800.00,1490.00,11448.00,21.44,4737.82,974.50,20.57,3763.33
BE,Saicourt,706,Route de Bellelay 26,2712,76.14,43800.00,7888.00,28729.60,12.013,24422.22,2069.28,8.473,22352.94
BE,La Neuveville,723,Rue des Mornets 11,2520,163.73,31900.00,4500.00,21920.00,16.257,13801.16,1342.12,9.725,12459.04
BE,La Neuveville,723,Rue des Mornets 35,2520,82.00,16900.00,1671.00,12183.20,18.936,5635.04,1153.03,20.46,4482.01
BE,La Neuveville,723,Rue des Mornets 21d,2520,170.39,42800.00,7582.00,28174.40,10.612,24127.93,3607.51,14.952,20520.42
BE,La Neuveville,723,Rue des Mornets 21e,2520,274.71,40600.00,6966.00,26907.20,11.639,22168.61,2658.39,11.992,19510.22
BE,La Neuveville,723,Rue des Mornets 29b,2520,190.45,51100.00,9947.00,32922.40,10.146,31655.37,3308.75,10.452,28346.62
BE,La Neuveville,723,Rue des Mornets 21b,2520,274.71,58300.00,11601.00,37359.20,10.445,36228.93,3045.39,8.406,33183.54
BE,La Neuveville,723,Rue des Mornets 17,2520,117.34,25200.00,3032.00,17734.40,21.15,8478.09,1030.31,12.153,7447.78
BE,Sorvilier,711,Métairie de Sorvilier 3,2736,101.90,25600.00,3094.00,18004.80,24.82,7320.53,1002.15,13.690,6318.38
BE,Sorvilier,711,La Cernie 58,2736,205.68,16200.00,1554.00,11716.80,25.13,4704.90,636.87,13.536,4068.02
BE,Sorvilier,711,La Cernie 55,2736,152.40,21900.00,2489.00,15528.80,19.118,7963.93,1053.77,13.232,6910.16
BE,La Neuveville,723,Rue des Mornets 4,2520,633.29,22600.00,2598.00,16001.60,16.552,8106.97,1836.55,22.65,6270.42
BE,Sorvilier,711,Chemin de Ferreule 5,2736,70.00,13200.00,1073.00,9701.60,32.55,2848.59,561.96,19.728,2286.63
BE,Sorvilier,711,Chemin de Ferreule 1,2736,197.18,25500.00,3086.00,17931.20,22.75,7730.20,1134.30,14.674,6595.91
BE,Sorvilier,711,Mont Girod 71,2736,51.86,13300.00,1077.00,9778.40,33.67,2808.42,542.93,19.332,2265.49
BE,Sorvilier,711,Mont Girod 1,2736,303.25,14800.00,1319.00,10784.80,22.48,4184.88,927.81,22.17,3257.08
BE,Sorvilier,711,Mont Girod 76,2736,44.40,13500.00,1111.00,9911.20,31.22,2957.50,621.22,21.00,2336.28
BE,Sorvilier,711,Chez Bandelier 60,2736,87.54,29500.00,3843.00,20525.60,19.735,10496.19,1240.51,11.819,9255.68
