canton,municipality,bfs_code,address,plz,egid
ZH,Hombrechtikon,153,Schlatt 8,8714,3020556
ZH,Hombrechtikon,153,Schlatt 22,8714,210198749
ZH,Hombrechtikon,153,Schlatt 14,8714,70383
ZH,Hombrechtikon,153,Schlatt 18,8714,2294327
ZH,Hombrechtikon,153,Schlatt 12,8714,70384
ZH,Hombrechtikon,153,Schlatt 4a,8714,2294395
ZH,Hittnau,173,Balchenstalstrasse 41,8335,84436
ZH,Hittnau,173,Balchenstalstrasse 28,8335,84437
ZH,Hittnau,173,Balchenstalstrasse 10,8335,201007164
ZH,Hittnau,173,Pfäffikerstrasse 54,8335,84157
ZH,Hittnau,173,Knup 1,8335,84382
ZH,Hittnau,173,Knup 2,8335,84383
ZH,Hittnau,173,Haselweid 1,8335,84011
ZH,Hittnau,173,Luppmenweg 17,8335,2302232
ZH,Hittnau,173,Luppmenweg 19,8335,2302233
ZH,Hittnau,173,Dürstelenstrasse 78,8335,210121862
ZH,Maur,195,Neubruchstrasse 18,8127,97536
ZH,Maur,195,Neubruchstrasse 11,8127,97530
ZH,Maur,195,Neubruchstrasse 13,8127,97532
ZH,Maur,195,Neubruchstrasse 5,8127,97525
ZH,Maur,195,Neubruchstrasse 8,8127,201025872
ZH,Maur,195,Winkelweg 11,8127,3024926
ZH,Maur,195,Langacherstrasse 16a,8127,201025848
ZH,Maur,195,Winkelweg 15,8127,3024986
ZH,Maur,195,Langacherstrasse 20,8127,97544
ZH,Maur,195,Langacherstrasse 14,8127,97538
ZH,Weisslingen,180,Farzelweg 9.1,8484,2306115
ZH,Weisslingen,180,Schwendi 13,8486,89958
ZH,Weisslingen,180,Lendikon 44,8484,90005
ZH,Weisslingen,180,Lendikon 14,8484,90014
ZH,Weisslingen,180,Lendikon 39,8484,90062
ZH,Weisslingen,180,Lendikon 49,8484,2306106
ZH,Weisslingen,180,Lendikon 53,8484,90063
ZH,Weisslingen,180,Lendikerstrasse 58,8484,90226
ZH,Weisslingen,180,Lendikerstrasse 56b,8484,191983008
ZH,Weisslingen,180,Rebberg 17,8484,210198280
ZH,Oetwil am See,157,Geerenstöck 5,8618,76721
ZH,Oetwil am See,157,Willikon 56,8618,201023158
ZH,Oetwil am See,157,Willikon 75,8618,76709
ZH,Oetwil am See,157,Willikon 54,8618,201023156
ZH,Oetwil am See,157,Willikon 78,8618,76712
ZH,Oetwil am See,157,Willikon 90,8618,76698
ZH,Oetwil am See,157,Willikon 73,8618,76710
ZH,Oetwil am See,157,Geerenstöck 1,8618,76720
ZH,Oetwil am See,157,Willikon 58,8618,76707
ZH,Oetwil am See,157,Willikon 69,8618,76706
ZH,Männedorf,155,Brunnenweg 9,8708,73252
ZH,Männedorf,155,Oberallenbergstrasse 48,8708,3135490
ZH,Männedorf,155,Weinrebenstrasse 83,8708,73247
ZH,Männedorf,155,Oberallenbergstrasse 44,8708,74211
ZH,Männedorf,155,Oberallenbergstrasse 46,8708,74210
ZH,Männedorf,155,Allenbergstrasse 56,8708,210115269
ZH,Männedorf,155,Brunnenweg 7,8708,73251
ZH,Männedorf,155,Brunnenweg 5,8708,73250
ZH,Männedorf,155,Allenbergstrasse 37,8708,74184
ZH,Männedorf,155,Allenbergstrasse 48,8708,210115265
ZH,Meilen,156,Seestrasse 622,8706,75827
ZH,Meilen,156,Seestrasse 634,8706,75831
ZH,Meilen,156,Seestrasse 650,8706,75837
ZH,Meilen,156,Schulhausstrasse 23,8706,75719
ZH,Meilen,156,Schulhausstrasse 40,8706,2297138
ZH,Meilen,156,Seestrasse 640,8706,2297062
ZH,Meilen,156,Seestrasse 613,8706,75820
ZH,Meilen,156,Im Höchlig 5,8706,75116
ZH,Meilen,156,Schulhausstrasse 51,8706,75725
ZH,Meilen,156,Seestrasse 611,8706,75819
ZH,Erlenbach (ZH),151,Seestrasse 90,8703,68098
ZH,Erlenbach (ZH),151,Seestrasse 88,8703,192036357
ZH,Erlenbach (ZH),151,Seestrasse 88a,8703,192036365
ZH,Erlenbach (ZH),151,Wannenstrasse 29,8703,68012
ZH,Erlenbach (ZH),151,Im Allmendli 11,8703,68045
ZH,Erlenbach (ZH),151,Im Allmendli 17,8703,210198002
ZH,Erlenbach (ZH),151,Wannenstrasse 31b,8703,210199663
ZH,Erlenbach (ZH),151,Zollerstrasse 23a,8703,210188446
ZH,Erlenbach (ZH),151,Wannenstrasse 15a,8703,210181915
ZH,Erlenbach (ZH),151,Zollerstrasse 18,8703,67863
ZH,Elgg,294,Jakobstal 4,8354,108927
ZH,Elgg,294,Sonnental 2,8354,108924
ZH,Elgg,294,Sonnental 4,8354,108923
ZH,Elgg,294,Jakobstal 5,8354,108926
ZH,Elgg,294,Dorfstrasse 28,8354,108903
ZH,Elgg,294,Neubruchstrasse 7,8354,108891
ZH,Elgg,294,Obermühle 12,8353,107321
ZH,Elgg,294,Fahrenhof 1,8353,107327
ZH,Elgg,294,Obermühle 24,8353,200290841
ZH,Elgg,294,Fahrenhof 2,8353,2315940
ZH,Herrliberg,152,Forchstrasse 398,8704,68363
ZH,Herrliberg,152,Herrenweg 1,8704,68330
ZH,Herrliberg,152,Herrenweg 5,8704,210196278
ZH,Herrliberg,152,Herrenweg 3,8704,68329
ZH,Herrliberg,152,Forchstrasse 396,8704,68364
ZH,Herrliberg,152,Forchstrasse 507,8704,68141
ZH,Herrliberg,152,Forchstrasse 503,8704,210188591
ZH,Herrliberg,152,Lindenstrasse 4,8704,68136
ZH,Herrliberg,152,Forchstrasse 505,8704,210188592
ZH,Herrliberg,152,Forchstrasse 504,8704,210181787
ZH,Uetikon am See,159,Haslihalde 30,8707,3021343
ZH,Uetikon am See,159,Haslihalde 17,8707,3021342
ZH,Uetikon am See,159,Haslihalde 19,8707,3021299
ZH,Uetikon am See,159,Alte Bergstrasse 135,8707,79198
ZH,Uetikon am See,159,Haslihalde 34,8707,3021300
ZH,Uetikon am See,159,Alte Bergstrasse 144,8707,210171372
ZH,Uetikon am See,159,Alte Bergstrasse 138,8707,79197
ZH,Uetikon am See,159,Haslihalde 32,8707,3021344
ZH,Uetikon am See,159,Alte Bergstrasse 136a,8707,3021404
ZH,Uetikon am See,159,Alte Bergstrasse 136b,8707,3021405
ZH,Zollikon,161,Alte Landstrasse 141,8702,81004
ZH,Zollikon,161,Sonnenfeldstrasse 20a,8702,81144
ZH,Zollikon,161,Alte Landstrasse 130,8702,81009
ZH,Zollikon,161,Letzistrasse 6,8702,81016
ZH,Zollikon,161,Sonnenfeldstrasse 22,8702,81146
ZH,Zollikon,161,Alte Landstrasse 145,8702,81006
ZH,Zollikon,161,Letzistrasse 4,8702,81017
ZH,Zollikon,161,Zwischenweg 3,8702,80998
ZH,Zollikon,161,Zwischenweg 12,8702,200286609
ZH,Zollikon,161,Zwischenweg 6,8702,200286674
ZH,Küsnacht (ZH),154,Alte Forchstrasse 3,8127,72814
ZH,Küsnacht (ZH),154,Alte Forchstrasse 4,8127,72815
ZH,Küsnacht (ZH),154,Alte Forchstrasse 1,8127,72813
ZH,Küsnacht (ZH),154,Chisligstrasse 3,8127,72865
ZH,Küsnacht (ZH),154,Chisligstrasse 7,8127,72867
ZH,Küsnacht (ZH),154,Kaltensteinstrasse 21,8127,72878
ZH,Küsnacht (ZH),154,Kaltensteinstrasse 18,8127,72875
ZH,Küsnacht (ZH),154,Kaltensteinstrasse 7,8127,3020643
ZH,Küsnacht (ZH),154,Kaltensteinstrasse 16,8127,72874
ZH,Küsnacht (ZH),154,Kaltensteinstrasse 5,8127,72873
ZH,Wildberg,182,Schöngut 2,8489,91139
ZH,Wildberg,182,Dorfstrasse 42,8489,91158
ZH,Wildberg,182,Dorfstrasse 46,8489,91156
ZH,Wildberg,182,Dorfstrasse 43,8489,201020441
ZH,Wildberg,182,Dorfstrasse 40,8489,91159
ZH,Wildberg,182,Dorfstrasse 47,8489,91162
ZH,Wildberg,182,Dorfstrasse 44,8489,91157
ZH,Wildberg,182,Dorfstrasse 33,8489,91154
ZH,Wildberg,182,Dorfstrasse 32,8489,3063797
ZH,Wildberg,182,Dorfstrasse 41,8489,91155
ZH,Wila,181,Rosengarten 2,8492,90898
ZH,Wila,181,Aegetswil 9,8492,3024160
ZH,Wila,181,Aegetswil 7,8492,90921
ZH,Wila,181,Aegetswil 12,8492,90920
ZH,Wila,181,Aegetswil 3,8492,90922
ZH,Wila,181,Wiesental 2,8492,90610
ZH,Wila,181,Sommerau 1,8492,90619
ZH,Wila,181,Wiesental 4,8492,90609
ZH,Wila,181,Waldweid 1,8492,90841
ZH,Wila,181,Gassackerstrasse 78,8492,210202812
ZH,Wald (ZH),120,Stockenmattstrasse 11,8636,48728
ZH,Wald (ZH),120,Im Ferch 4,8636,48703
ZH,Wald (ZH),120,Im Ferch 2,8636,48704
ZH,Wald (ZH),120,Bachtelstrasse 104,8636,48709
ZH,Wald (ZH),120,Im Ferch 21,8636,48744
ZH,Wald (ZH),120,Im Ferch 13,8636,48740
ZH,Wald (ZH),120,Im Ferch 11,8636,48739
ZH,Wald (ZH),120,Im Ferch 6,8636,48705
ZH,Wald (ZH),120,Im Ferch 15,8636,48741
ZH,Wald (ZH),120,Blattenbach 9,8636,48727
ZH,Bubikon,112,Aubrigstrasse 4a,8633,39726
ZH,Bubikon,112,Bühlhofstrasse 36,8633,39654
ZH,Bubikon,112,Bühlhofstrasse 15,8633,39698
ZH,Bubikon,112,Zinkereistrasse 30,8633,39626
ZH,Bubikon,112,Speerstrasse 7,8633,39742
ZH,Bubikon,112,Lochrütistrasse 21,8633,200290449
ZH,Bubikon,112,Speerstrasse 5b,8633,39739
ZH,Bubikon,112,Zinkereistrasse 32,8633,39627
ZH,Bubikon,112,Bühlhofstrasse 21,8633,39701
ZH,Bubikon,112,Aubrigstrasse 4,8633,39725
ZH,Bauma,297,Aeberliswaldstrasse 15,8499,210126409
ZH,Bauma,297,Aeberliswaldstrasse 17,8499,89922
ZH,Bauma,297,Aeberliswaldstrasse 5,8499,89921
ZH,Bauma,297,Wolfsbergstrasse 48,8494,191964549
