canton,address,plz,municipality,buildingGroundArea_sqm,grossInvest_CHF,subsidies_CHF,netInvest_CHF,paybackTime_years,producedKwhYear_kWh,selfConsumedKwhYear_kWh,selfConsumptionPct_pct,gridFeedinKwhYear_kWh
AI,Schwarzeneggstrasse 7,9058,Schwende-Rüte,453.37,80100.00,15726.00,51499.20,12.798,43489.97,2469.90,5.679,41020.07
AG,Haldenstrasse 224,5614,Sarmenstorf,323.04,21900.00,2492.00,15526.40,16.157,7929.92,1874.33,23.64,6055.59
AG,Bodenackerstrasse 558,5614,Sarmenstorf,157.54,63800.00,12639.00,40928.80,12.175,37899.74,1203.71,3.176,36696.03
AG,Gartenweg 3,5443,Niederrohrdorf,165.76,52100.00,10235.00,33492.00,10.258,31023.46,3759.20,12.117,27264.26
NE,En Segrin 25,2016,Cortaillod,127.97,31500.00,4397.00,21682.40,16.412,13527.75,1318.68,9.748,12209.07
NE,Chemin du Potat-Dessus 10,2016,Cortaillod,385.39,17300.00,1730.00,12456.00,19.676,5566.52,1141.91,20.51,4424.61
NE,En Segrin 18a,2016,Cortaillod,166.19,17700.00,1794.00,12724.80,19.881,5609.30,1169.60,20.85,4439.70
GE,Rue de Lausanne 192,1202,Genève,656.71,23900.00,2813.00,16869.60,17.898,9410.20,1098.76,11.676,8311.44
GE,Route du Château-du-Crest 50,1254,Jussy,339.27,18400.00,1919.00,13184.80,21.72,5533.67,1046.18,18.906,4487.49
GE,Route du Château-du-Crest 40,1254,Jussy,0.00000,12900.00,1024.00,9500.80,26.68,3288.35,650.32,19.776,2638.03
TI,Monti di Pisciarotto ,6584,Bellinzona,32.25,34000.00,5106.00,23115.20,11.276,11539.92,6289.12,54.50,5250.80
TI,San Martino 41,6777,Quinto,50.00,22700.00,2613.00,16069.60,17.880,9006.24,1027.87,11.413,7978.37
TI,San Martino 8,6777,Quinto,68.91,23500.00,2753.00,16597.60,16.027,8759.80,1911.10,21.82,6848.70
SO,Meltingerberg 53,4233,Meltingen,734.74,87500.00,17118.00,56305.60,10.860,58520.14,1528.64,2.612,56991.50
SO,Ramisgraben 119,4717,Mümliswil-Ramiswil,646.35,21600.00,2448.00,15321.60,19.427,7779.84,1008.94,12.969,6770.89
SO,Schrannenweg 2,5015,Erlinsbach (SO),77.93,17100.00,1703.00,12317.60,26.56,4201.73,895.18,21.31,3306.55
JU,La Tuilerie 7,2950,Courgenay,81.83,23900.00,2813.00,16869.60,19.405,8666.49,1070.15,12.348,7596.34
JU,Route du Monterri 22,2950,Courgenay,193.04,47400.00,8899.00,30800.80,12.766,24103.38,2441.11,10.128,21662.27
JU,Route du Monterri 30,2950,Courgenay,143.90,48200.00,9126.00,31259.20,10.739,26640.44,3899.09,14.636,22741.35
VD,Chemin des Châtaigniers 2,1163,Etoy,597.19,102900.00,20049.00,66280.80,10.165,63023.48,6955.75,11.037,56067.73
VD,Chemin de Pra Riondet 2,1163,Etoy,346.69,17200.00,1727.00,12378.40,18.777,5751.61,1188.92,20.67,4562.69
VD,Chemin de la Planche de Ville 3,1535,Valbroye,95.95,40900.00,7054.00,27076.80,12.537,21944.11,1956.12,8.914,19987.99
TG,Tristen 2,8374,Fischingen,275.24,21900.00,2487.00,15530.40,20.29,7578.12,990.64,13.072,6587.48
TG,Tristen 1,8374,Fischingen,505.18,19700.00,2135.00,14052.00,25.88,4916.49,1040.33,21.16,3876.16
TG,Maadstrasse 4,9545,Wängi,149.33,27400.00,3396.00,19203.20,18.220,10525.22,1244.55,11.824,9280.67
VS,Talstrasse 107,3905,Saas-Almagell,217.97,73500.00,14478.00,47217.60,13.883,38674.37,1297.23,3.354,37377.14
VS,Talstrasse 103,3905,Saas-Almagell,97.10,133900.00,25923.00,86381.60,14.038,70829.56,1950.07,2.753,68879.48
VS,Kirchstrasse 3,3905,Saas-Almagell,70.03,146000.00,28224.00,94220.80,13.578,80148.29,1928.16,2.406,78220.13
NW,Wissiflue 1,6376,Beckenried,95.24,15100.00,1371.00,10983.20,26.16,3892.00,756.91,19.448,3135.09
NW,Ruotzen 2,6376,Beckenried,42.23,22100.00,2522.00,15662.40,20.18,7833.54,928.51,11.853,6905.03
NW,Lanzig 1,6376,Beckenried,135.46,28600.00,3580.00,20016.00,18.716,11063.55,1096.37,9.910,9967.19
